Name,IF,IFDenseRank,IFMinRank
keyword,960.5442176870747,1.0,1.0
method,960.5442176870747,1.0,1.0
graphbas,960.5442176870747,1.0,1.0
extract,960.5442176870747,1.0,1.0
graph,886.3673469387754,2.0,5.0
word,886.3673469387754,2.0,5.0
parameterless,886.3673469387754,2.0,5.0
construct,886.3673469387754,2.0,5.0
propos,886.3673469387754,2.0,5.0
text,791.3690476190476,3.0,10.0
contextu,722.0,4.0,11.0
relat,722.0,4.0,11.0
concept,709.7142857142858,5.0,13.0
score,703.9455782312925,6.0,14.0
connect,703.9455782312925,6.0,14.0
base,703.9455782312925,6.0,14.0
paper,659.4285714285714,7.0,17.0
issu,659.4285714285714,7.0,17.0
challeng,659.4285714285714,7.0,17.0
present,659.4285714285714,7.0,17.0
critic,659.4285714285714,7.0,17.0
comprehens,659.4285714285714,7.0,17.0
analysi,659.4285714285714,7.0,17.0
discuss,659.4285714285714,7.0,17.0
demonstr,602.798185941043,8.0,25.0
individu,602.798185941043,8.0,25.0
superior,602.798185941043,8.0,25.0
algorithm,602.798185941043,8.0,25.0
semant,561.5238095238095,9.0,29.0
scake,561.5238095238095,9.0,29.0
document,561.5238095238095,9.0,29.0
lead,561.5238095238095,9.0,29.0
combin,561.5238095238095,9.0,29.0
endeavour,532.8571428571428,10.0,34.0
import,532.8571428571428,10.0,34.0
task,532.8571428571428,10.0,34.0
